Date,Open,High,Low,Close,Volume,Market Cap,Mean
"Nov 29, 2017",5.91,6.16,4.97,5.17,"3,09,96,500","59,09,60,000",5.5525
"Nov 28, 2017",5.62,5.93,5.56,5.93,"2,62,01,500","56,23,74,000",5.76
"Nov 27, 2017",5.67,5.78,5.48,5.65,"2,50,29,600","56,71,62,000",5.645
"Nov 26, 2017",5.36,5.79,5.35,5.68,"2,56,67,300","53,59,81,000",5.545
"Nov 25, 2017",5.22,5.37,5.13,5.35,"2,05,20,600","52,15,31,000",5.2675
"Nov 24, 2017",5.19,5.27,5.03,5.23,"2,24,24,900","51,91,00,000",5.18
"Nov 23, 2017",5.29,5.34,5.18,5.19,"2,13,05,100","52,94,35,000",5.25
"Nov 22, 2017",5.2,5.57,5.16,5.29,"2,63,43,100","51,98,34,000",5.305
"Nov 21, 2017",5.26,5.28,4.99,5.19,"2,33,53,900","52,56,16,000",5.18
"Nov 20, 2017",5.13,5.42,5.06,5.27,"2,22,72,000","51,25,82,000",5.22
"Nov 19, 2017",5.28,5.47,5.02,5.12,"2,08,69,400","52,82,78,000",5.2225
"Nov 18, 2017",4.77,5.42,4.65,5.3,"2,60,20,400","47,65,45,000",5.035
"Nov 17, 2017",4.75,4.97,4.61,4.78,"1,87,77,000","47,45,92,000",4.7775
"Nov 16, 2017",5.07,5.1,4.71,4.76,"2,40,87,100","50,65,04,000",4.91
"Nov 15, 2017",5.05,5.27,4.8,5.05,"2,58,51,400","50,52,69,000",5.0425
"Nov 14, 2017",4.4,5.09,4.38,5.03,"1,93,74,900","43,96,02,000",4.725
"Nov 13, 2017",3.69,4.48,3.69,4.4,"1,24,93,200","36,93,68,000",4.065
"Nov 12, 2017",4.1,4.13,3.57,3.7,"1,22,79,900","41,02,50,000",3.875
"Nov 11, 2017",4.23,4.46,4.04,4.12,"1,23,04,600","42,28,15,000",4.2125
"Nov 10, 2017",4.92,5.03,4.09,4.24,"1,44,25,500","49,19,60,000",4.57
"Nov 09, 2017",4.51,5.22,4.47,4.91,"2,09,82,300","45,06,94,000",4.7775
"Nov 08, 2017",3.68,4.82,3.67,4.5,"2,05,40,000","36,81,85,000",4.1675
"Nov 07, 2017",3.52,3.72,3.42,3.69,"1,13,12,200","35,21,78,000",3.5875
"Nov 06, 2017",3.46,3.65,3.36,3.52,"1,22,91,000","34,57,46,000",3.4975
"Nov 05, 2017",3.61,3.62,3.39,3.45,"97,98,490","36,05,17,000",3.5175
"Nov 04, 2017",3.65,3.79,3.44,3.62,"1,16,19,500","36,52,54,000",3.625
"Nov 03, 2017",3.21,3.97,3.02,3.68,"1,40,90,800","32,05,50,000",3.47
"Nov 02, 2017",2.92,3.95,2.65,3.19,"1,49,49,200","29,20,33,000",3.1775
"Nov 01, 2017",3.23,3.23,2.67,2.89,"1,19,33,800","32,34,19,000",3.005
"Oct 31, 2017",3.47,3.5,3.17,3.24,"98,95,450","34,73,20,000",3.345
"Oct 30, 2017",3.55,3.61,3.43,3.48,"85,23,780","35,51,40,000",3.5175
"Oct 29, 2017",3.46,3.64,3.45,3.54,"90,46,840","34,58,25,000",3.5225
"Oct 28, 2017",3.54,3.6,3.45,3.46,"81,03,840","35,44,17,000",3.5125
"Oct 27, 2017",3.62,3.68,3.52,3.54,"67,14,780","36,23,11,000",3.59
"Oct 26, 2017",3.72,3.79,3.54,3.62,"83,21,870","37,17,05,000",3.6675
"Oct 25, 2017",3.76,3.77,3.48,3.7,"85,33,500","37,62,45,000",3.6775
"Oct 24, 2017",3.67,3.98,3.59,3.76,"87,03,160","36,67,74,000",3.75
"Oct 23, 2017",3.58,3.71,3.35,3.67,"86,21,370","35,80,01,000",3.5775
"Oct 22, 2017",3.58,3.66,3.47,3.58,"84,91,900","35,82,00,000",3.5725
"Oct 21, 2017",3.64,3.76,3.43,3.58,"1,06,66,600","36,44,77,000",3.6025
"Oct 20, 2017",3.89,3.97,3.63,3.66,"1,08,30,100","38,90,91,000",3.7875
"Oct 19, 2017",4.04,4.12,3.8,3.89,"88,40,030","40,40,68,000",3.9625
"Oct 18, 2017",3.93,4.1,3.66,4.04,"72,83,440","39,26,35,000",3.9325
"Oct 17, 2017",4.04,4.05,3.84,3.92,"49,54,490","40,40,05,000",3.9625
"Oct 16, 2017",3.8,4.14,3.65,4.02,"49,72,740","38,03,20,000",3.9025
"Oct 15, 2017",4.01,4.02,3.68,3.8,"43,84,340","40,10,32,000",3.8775
"Oct 14, 2017",3.98,4.09,3.81,4,"51,90,930","39,76,86,000",3.97
"Oct 13, 2017",3.69,4.03,3.59,3.97,"67,77,070","36,92,01,000",3.82
"Oct 12, 2017",4.18,4.2,3.69,3.69,"62,89,170","41,76,11,000",3.94
"Oct 11, 2017",4.11,4.41,4.08,4.18,"72,96,340","41,09,15,000",4.195
"Oct 10, 2017",4.11,4.26,3.92,4.12,"56,75,270","41,07,37,000",4.1025
"Oct 09, 2017",4.44,4.63,4.01,4.13,"66,98,160","44,39,37,000",4.3025
"Oct 08, 2017",5.01,5.04,4.44,4.44,"77,17,430","50,11,63,000",4.7325
"Oct 07, 2017",4.96,5.04,4.91,5.02,"67,60,300","49,58,16,000",4.9825
"Oct 06, 2017",4.97,5.1,4.91,4.97,"65,74,960","49,70,17,000",4.9875
"Oct 05, 2017",4.92,5.04,4.76,4.97,"68,04,000","49,17,95,000",4.9225
"Oct 04, 2017",4.74,5.08,4.71,4.91,"86,79,860","47,44,77,000",4.86
"Oct 03, 2017",4.87,5,4.67,4.73,"69,75,040","48,65,90,000",4.8175
"Oct 02, 2017",4.97,4.98,4.81,4.85,"74,22,400","49,73,44,000",4.9025
"Oct 01, 2017",5.03,5.05,4.84,4.97,"82,33,020","50,29,85,000",4.9725
"Sep 30, 2017",4.93,5.2,4.93,5.04,"74,80,680","49,31,43,000",5.025
"Sep 29, 2017",4.77,5.04,4.39,4.93,"85,15,820","47,67,43,000",4.7825
"Sep 28, 2017",5.17,5.17,4.73,4.78,"87,95,790","51,66,74,000",4.9625
"Sep 27, 2017",4.77,5.19,4.77,5.17,"1,14,47,500","47,74,61,000",4.975
"Sep 26, 2017",4.23,4.86,4.23,4.79,"77,13,420","42,28,07,000",4.5275
"Sep 25, 2017",3.97,4.3,3.92,4.23,"52,18,940","39,69,43,000",4.105
"Sep 24, 2017",3.97,3.98,3.8,3.97,"50,12,110","39,65,13,000",3.93
"Sep 23, 2017",3.76,3.99,3.71,3.97,"49,50,050","37,55,79,000",3.8575
"Sep 22, 2017",3.65,3.84,3.56,3.77,"27,23,740","36,50,50,000",3.705
"Sep 21, 2017",4.05,4.08,3.57,3.64,"29,14,710","40,54,45,000",3.835
"Sep 20, 2017",4.14,4.29,3.96,4.07,"39,10,370","41,35,10,000",4.115
"Sep 19, 2017",4.36,4.38,4,4.16,"34,03,370","43,57,01,000",4.225
"Sep 18, 2017",3.64,4.4,3.64,4.34,"40,80,300","36,37,99,000",4.005
"Sep 17, 2017",3.77,3.81,3.49,3.64,"34,06,720","37,65,69,000",3.6775
"Sep 16, 2017",3.77,3.9,3.49,3.76,"44,99,490","37,74,10,000",3.73
"Sep 15, 2017",3.12,3.94,2.8,3.78,"62,70,110","31,17,52,000",3.41
"Sep 14, 2017",3.95,4.05,3.09,3.09,"44,70,510","39,47,40,000",3.545
"Sep 13, 2017",4.36,4.36,3.75,3.95,"49,28,930","43,62,02,000",4.105
"Sep 12, 2017",4.35,4.61,4.26,4.38,"53,06,860","43,48,06,000",4.4
"Sep 11, 2017",4.44,4.57,4.16,4.35,"49,08,140","44,37,83,000",4.38
"Sep 10, 2017",4.45,4.58,3.99,4.41,"54,69,690","44,48,28,000",4.3575
"Sep 09, 2017",4.51,4.59,4.37,4.46,"54,06,880","45,10,34,000",4.4825
"Sep 08, 2017",4.99,5.03,4.28,4.5,"58,99,500","49,87,06,000",4.7
"Sep 07, 2017",5.1,5.13,4.9,4.98,"63,53,830","51,03,27,000",5.0275
"Sep 06, 2017",4.99,5.41,4.93,5.16,"60,69,650","49,92,59,000",5.1225
"Sep 05, 2017",4.68,5.1,4.32,4.98,"61,94,560","46,78,62,000",4.77
"Sep 04, 2017",5.2,5.21,4.24,4.66,"83,24,540","51,95,70,000",4.8275
"Sep 03, 2017",5.27,5.5,4.99,5.2,"51,74,780","52,68,27,000",5.24
"Sep 02, 2017",5.78,5.87,5.07,5.23,"66,08,910","57,76,88,000",5.4875
"Sep 01, 2017",5.95,6.1,5.72,5.74,"95,56,080","59,54,98,000",5.8775
"Aug 31, 2017",5.47,5.94,5.38,5.94,"94,71,090","54,68,51,000",5.6825
"Aug 30, 2017",5.44,5.49,5.13,5.48,"66,59,820","54,43,66,000",5.385
"Aug 29, 2017",5.27,5.47,5.13,5.45,"75,81,710","52,70,66,000",5.33
"Aug 28, 2017",5.22,5.41,5.02,5.26,"72,08,780","52,24,86,000",5.2275
"Aug 27, 2017",5.34,5.51,5.18,5.23,"72,12,980","53,42,42,000",5.315
"Aug 26, 2017",5.28,5.74,5.11,5.32,"91,23,230","52,82,42,000",5.3625
"Aug 25, 2017",5.02,5.46,4.94,5.27,"93,06,450","50,23,80,000",5.1725
"Aug 24, 2017",4.63,5.02,4.55,5.02,"35,37,820","46,34,03,000",4.805
"Aug 23, 2017",4.49,4.82,4.44,4.6,"29,89,630","44,90,53,000",4.5875
"Aug 22, 2017",4.38,4.74,3.81,4.46,"33,58,640","43,79,71,000",4.3475
"Aug 21, 2017",4.85,4.88,4.33,4.39,"40,64,960","48,52,18,000",4.6125
"Aug 20, 2017",4.43,4.92,4.29,4.86,"45,19,570","44,28,70,000",4.625
"Aug 19, 2017",4.3,4.45,4.1,4.43,"38,01,000","42,96,11,000",4.32
"Aug 18, 2017",4.57,4.73,4.1,4.3,"25,88,840","45,66,31,000",4.425
"Aug 17, 2017",4.81,4.95,4.46,4.58,"26,09,230","48,13,90,000",4.7
"Aug 16, 2017",4.8,4.96,4.58,4.83,"26,07,640","47,96,68,000",4.7925
"Aug 15, 2017",4.73,5.16,4.31,4.79,"51,07,560","47,30,33,000",4.7475
"Aug 14, 2017",4.83,5.04,4.54,4.72,"50,89,710","48,34,69,000",4.7825
"Aug 13, 2017",5.05,5.28,4.63,4.79,"58,23,330","50,47,05,000",4.9375
"Aug 12, 2017",5.58,5.58,4.89,5.05,"67,82,250","55,76,70,000",5.275
"Aug 11, 2017",5.6,5.78,5.13,5.54,"75,67,900","56,02,41,000",5.5125
"Aug 10, 2017",5.24,5.63,5.15,5.6,"75,01,860","52,43,75,000",5.405
"Aug 09, 2017",5.38,5.45,4.9,5.27,"49,60,110","53,82,44,000",5.25
"Aug 08, 2017",5.64,5.83,5.04,5.41,"68,67,910","56,40,66,000",5.48
"Aug 07, 2017",5.18,5.75,4.62,5.64,"77,92,050","51,82,33,000",5.2975
"Aug 06, 2017",4.32,5.37,4.29,5.21,"70,75,590","43,20,28,000",4.7975
"Aug 05, 2017",3.67,4.57,3.65,4.32,"48,31,480","36,72,28,000",4.0525
"Aug 04, 2017",3.87,4.13,3.59,3.67,"43,24,800","38,67,97,000",3.815
"Aug 03, 2017",3.54,3.96,3.46,3.84,"47,66,700","35,44,71,000",3.7
"Aug 02, 2017",3.02,3.6,2.96,3.51,"37,39,710","30,21,69,000",3.2725
"Aug 01, 2017",2.77,3.11,2.61,3.01,"32,57,400","27,73,90,000",2.875
"Jul 31, 2017",2.74,2.87,2.62,2.78,"26,51,760","27,38,12,000",2.7525
"Jul 30, 2017",2.87,2.93,2.72,2.72,"15,30,680","28,68,09,000",2.81
"Jul 29, 2017",2.98,3.06,2.69,2.87,"21,16,910","29,75,97,000",2.9
"Jul 28, 2017",2.76,3.11,2.45,3,"30,30,820","27,64,59,000",2.83
"Jul 27, 2017",2.74,2.84,2.6,2.75,"18,89,170","27,43,72,000",2.7325
"Jul 26, 2017",2.92,2.99,2.5,2.74,"30,13,790","29,16,23,000",2.7875
"Jul 25, 2017",3.52,3.56,2.76,2.91,"24,62,600","35,17,53,000",3.1875
"Jul 24, 2017",3.65,3.71,3.39,3.52,"18,13,130","36,45,82,000",3.5675
"Jul 23, 2017",3.9,3.97,3.5,3.65,"26,08,730","39,00,12,000",3.755
"Jul 22, 2017",3.24,4.17,3.23,3.9,"32,46,480","32,41,51,000",3.635
"Jul 21, 2017",3.26,3.44,3.13,3.24,"21,67,520","32,61,54,000",3.2675
"Jul 20, 2017",2.61,3.43,2.61,3.25,"21,64,540","26,09,70,000",2.975
"Jul 19, 2017",2.83,2.87,2.53,2.64,"20,96,680","28,28,47,000",2.7175
"Jul 18, 2017",2.52,2.95,2.38,2.83,"23,25,000","25,23,29,000",2.67
"Jul 17, 2017",1.97,2.52,1.94,2.52,"19,09,110","19,69,39,000",2.2375
"Jul 16, 2017",2.01,2.06,1.77,1.97,"16,77,160","20,12,11,000",1.9525
"Jul 15, 2017",2.43,2.43,1.98,2.04,"28,60,750","24,27,05,000",2.22
"Jul 14, 2017",2.89,2.89,2.33,2.43,"24,39,500","28,94,95,000",2.635
"Jul 13, 2017",3.05,3.09,2.72,2.9,"17,34,160","30,52,63,000",2.94
"Jul 12, 2017",2.59,3.05,2.42,3.05,"19,30,340","25,87,27,000",2.7775
"Jul 11, 2017",2.79,2.96,2.49,2.59,"31,52,450","27,88,27,000",2.7075
"Jul 10, 2017",3.74,3.76,2.73,2.82,"26,38,830","37,38,06,000",3.2625
"Jul 09, 2017",3.92,3.94,3.75,3.75,"12,25,380","39,21,18,000",3.84
"Jul 08, 2017",3.79,3.93,3.5,3.93,"14,12,280","37,94,03,000",3.7875
"Jul 07, 2017",4.33,4.36,3.71,3.77,"26,31,630","43,27,14,000",4.0425
"Jul 06, 2017",4.58,4.65,4.24,4.34,"29,39,230","45,77,40,000",4.4525
"Jul 05, 2017",4.32,4.79,4.28,4.56,"57,33,020","43,18,55,000",4.4875
"Jul 04, 2017",3.79,4.49,3.75,4.32,"52,14,290","37,89,85,000",4.0875
"Jul 03, 2017",3.61,3.87,3.48,3.81,"26,25,710","36,11,16,000",3.6925
"Jul 02, 2017",3.7,3.71,3.51,3.62,"22,39,090","36,96,37,000",3.635
"Jul 01, 2017",3.57,4.08,3.53,3.7,"26,15,170","35,70,30,000",3.72
"Jun 30, 2017",3.95,3.97,3.51,3.57,"20,36,280","39,45,15,000",3.75
"Jun 29, 2017",4.24,4.28,3.9,3.91,"16,39,660","42,39,77,000",4.0825
"Jun 28, 2017",4.31,4.34,4.03,4.24,"27,72,690","43,13,91,000",4.23
"Jun 27, 2017",3.95,4.31,3.66,4.29,"24,39,380","39,51,39,000",4.0525
"Jun 26, 2017",4.64,4.65,3.53,3.83,"65,62,970","46,44,48,000",4.1625
"Jun 25, 2017",4.88,4.96,4.45,4.62,"30,48,820","48,84,43,000",4.7275
"Jun 24, 2017",5.21,5.34,4.73,4.86,"24,00,890","52,14,88,000",5.035
"Jun 23, 2017",4.91,5.36,4.81,5.21,"21,66,710","49,12,11,000",5.0725
"Jun 22, 2017",4.91,5.05,4.8,4.92,"20,58,720","49,07,81,000",4.92
"Jun 21, 2017",5.06,5.12,4.87,4.89,"25,05,130","50,61,26,000",4.985
"Jun 20, 2017",5.15,5.33,4.93,5.07,"34,40,970","51,49,43,000",5.12
"Jun 19, 2017",5.02,5.3,4.93,5.15,"32,98,260","50,22,46,000",5.1
"Jun 18, 2017",5.17,5.33,4.98,4.99,"14,59,430","51,72,99,000",5.1175
"Jun 17, 2017",5.16,5.38,5.03,5.18,"20,57,140","51,62,62,000",5.1875
"Jun 16, 2017",5.28,5.42,4.95,5.16,"19,20,540","52,78,68,000",5.2025
"Jun 15, 2017",5.09,5.36,4.34,5.28,"31,32,730","50,88,17,000",5.0175
"Jun 14, 2017",5.82,6,4.99,5.09,"23,77,380","58,22,70,000",5.475
"Jun 13, 2017",5.33,5.86,5.23,5.77,"26,66,350","53,26,27,000",5.5475
"Jun 12, 2017",6.31,6.49,4.94,5.36,"29,13,670","63,11,05,000",5.775
"Jun 11, 2017",5.67,6.4,5.63,6.32,"29,39,820","56,68,58,000",6.005
"Jun 10, 2017",6.34,7.01,5.5,5.82,"51,24,700","63,44,69,000",6.1675
"Jun 09, 2017",5.82,7,5.74,6.34,"39,63,370","58,15,50,000",6.225
"Jun 08, 2017",5.29,5.92,5.09,5.82,"29,84,740","52,85,17,000",5.53
"Jun 07, 2017",5.48,5.48,4.86,5.27,"24,48,950","54,84,27,000",5.2725
"Jun 06, 2017",5.69,5.69,4.94,5.51,"44,67,540","56,85,31,000",5.4575
"Jun 05, 2017",5.33,5.69,5.24,5.64,"30,95,220","53,34,05,000",5.475
"Jun 04, 2017",5.16,5.58,4.44,5.35,"44,47,070","51,63,57,000",5.1325
"Jun 03, 2017",4.69,6.51,4.61,5.19,"1,01,24,100","46,86,17,000",5.25
"Jun 02, 2017",3.4,4.64,3.4,4.53,"49,88,350","34,03,71,000",3.9925
"Jun 01, 2017",2.94,3.53,2.93,3.44,"32,24,130","29,40,35,000",3.21
"May 31, 2017",2.43,3.08,2.39,2.95,"22,33,740","24,27,99,000",2.7125
"May 30, 2017",2.7,2.76,2.38,2.38,"20,66,020","26,97,73,000",2.555
"May 29, 2017",2.48,2.76,2.27,2.68,"14,75,750","24,77,86,000",2.5475
"May 28, 2017",2.26,2.74,2.26,2.47,"12,73,880","22,55,88,000",2.4325
"May 27, 2017",2.49,2.61,1.74,2.25,"20,19,910","24,90,88,000",2.2725
"May 26, 2017",2.35,2.95,2.33,2.49,"19,94,070","23,51,76,000",2.53
"May 25, 2017",2.83,2.95,2.29,2.36,"22,80,980","28,29,49,000",2.6075
"May 24, 2017",2.64,3.07,2.51,2.75,"25,49,760","26,37,89,000",2.7425
"May 23, 2017",1.88,2.75,1.88,2.57,"36,40,250","18,82,12,000",2.27
"May 22, 2017",1.77,1.98,1.75,1.87,"16,96,230","17,68,18,000",1.8425
"May 21, 2017",1.64,1.79,1.64,1.77,"14,98,620","16,37,62,000",1.71
"May 20, 2017",1.57,1.65,1.49,1.64,"10,19,880","15,68,86,000",1.5875
"May 19, 2017",1.39,1.61,1.37,1.57,"14,23,940","13,90,98,000",1.485
"May 18, 2017",1.28,1.4,1.28,1.38,"9,12,823","12,84,94,000",1.335
"May 17, 2017",1.27,1.43,1.25,1.34,"13,48,780","12,67,82,000",1.3225
"May 16, 2017",1.42,1.42,1.24,1.26,"12,09,240","14,18,28,000",1.335
"May 15, 2017",1.37,1.46,1.32,1.4,"16,64,930","13,74,97,000",1.3875
"May 14, 2017",1.19,1.42,1.19,1.37,"21,76,080","11,94,76,000",1.2925
"May 13, 2017",1.11,1.21,1.07,1.19,"15,59,600","11,09,83,000",1.145
"May 12, 2017",1.22,1.26,0.799024,1.11,"10,06,640","12,15,33,000",1.097256
"May 11, 2017",1.21,1.33,1.15,1.2,"16,06,360","12,14,49,000",1.2225
"May 10, 2017",0.910802,1.36,0.904453,1.2,"28,97,830","9,10,80,200",1.09381375
"May 09, 2017",0.830627,1.11,0.815311,0.917445,"8,45,264","8,30,62,700",0.91834575
"May 08, 2017",0.800956,0.853055,0.765106,0.818904,"6,20,587","8,00,95,600",0.80950525
"May 07, 2017",0.767301,0.843241,0.752029,0.789317,"6,89,834","7,67,30,100",0.787972
"May 06, 2017",0.733379,0.815748,0.716798,0.798015,"5,26,869","7,33,37,900",0.765985
"May 05, 2017",0.718197,0.782981,0.713954,0.732555,"5,00,678","7,18,19,700",0.73692175
"May 04, 2017",0.669921,0.751036,0.66586,0.715918,"4,50,198","6,69,92,100",0.70068375
"May 03, 2017",0.622717,0.675319,0.599816,0.669789,"4,43,313","6,22,71,700",0.64191025
